Organization Name,Organization Name URL,Operating Status,Headquarters Location,Number of Employees,Description,Full Description,Industries,Founded Date,Founded Date Precision,Industry Groups,Top 5 Investors,IPO Status,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),Apptopia - Downloads Last 30 Days,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Number of Lead Investors,Number of Investors,Closed Date,Closed Date Precision,Estimated Revenue Range
Kendrew Distribution Services,https://www.crunchbase.com/organization/kendrew-distribution-services,Active,"Woodbridge, Ontario, Canada",501-1000,Kendrew Distribution Services is a 3PL Solutions Company.,,"Logistics, Software, Supply Chain Management",1987-01-01,day,"Software, Transportation",,Private,298,,,,,,,,,,,,,,,,,,,,,,
Insight Group,https://www.crunchbase.com/organization/insight-group,Active,"Oakville, Ontario, Canada",11-50,Insight Group provides warehouse and logistics products and services. ,"Insight Group, a wholly owned subsidiary of Blackbird International Corporation, provides real time solutions for your supply chain goals. With more than 30 years of experience in logistics supply chain consulting and technology, we currently operate in Canada, the United States, the United Kingdom, Australia, and New Zealand, with entities in Brazil, Asia and the Middle East. We apply result based methodologies and offer proven logistics consultation to produce real solutions for your projects","Consumer Software, Logistics, Software",,,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Go4logistics,https://www.crunchbase.com/organization/go4logistics,Active,"Antwerpen, Antwerpen, Belgium",11-50,"Go4 specializes in rendering transport management software, cloud logistics, process optimization, and document management.",,"Document Management, Logistics, Software, Transportation",2010-05-19,day,"Information Technology, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Advanced Logistics Systems Inc,https://www.crunchbase.com/organization/advanced-logistics-systems-inc,Active,"Friday Harbor, Washington, United States",501-1000,Advanced Logistics is the leader in consulting and custom software for the shipping and logistics industries.,,"Consulting, Logistics, Software, Transportation",1980-01-01,day,"Professional Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$100M to $500M
Sisa Studio Informatica SA,https://www.crunchbase.com/organization/sisa-studio-informatica-sa,Active,"Taverne, Ticino, Switzerland",11-50,SISA provides customs and logistics software for importers and exporters to optimize their business processes.,,"Business Development, Customer Service, Logistics, Software",1972-01-01,year,"Other, Professional Services, Software, Transportation",,Private,144,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Grupo V10,https://www.crunchbase.com/organization/grupo-v10,Active,"Madrid, Madrid, Spain",11-50,"V10 Group is a logistics & supply chain, a tech company with 15 years of experience in developing software and hardware solutions.",,"Hardware, Logistics, Software",2007-01-01,day,"Hardware, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Track Company Bus,https://www.crunchbase.com/organization/track-company-bus,Active,"Trivandrum, Kerala, India",,TrackCompanyBus aims to improve the efficiency of employee transport by better time and fleet management.,"TrackCompanyBus is a venture by Probytes (Web Development Services Company). It deals with employee transport management System and tracking software using GPS and RFID technology. TrackCompanyBus aims to improve the efficiency of employee transport by better time and fleet management thus, maintaining a more relaxed employee mind-set. The system is a combination of hardware and software (Desktop and mobile) solutions. Employees were chosen in accordance with the required skill set and were deployed for the development of a cutting edge fleet management system. As a result, they have successfully developed a path breaking HID card enabled employee transportation management system by investing a huge amount of time as well as meticulous research on machine learning, deep learning, Mobile phone integration and IOT.","Big Data, Fleet Management, Information Technology, Logistics, Software, Web Development",,,"Data and Analytics, Information Technology, Software, Transportation",,Private,,,9,,,,,,,,,,,,,,,,,,,,
Softmodal,https://www.crunchbase.com/organization/softmodal,Active,"Santa Monica, California, United States",1-10,Softmodal is a web-based dynamic pricing technology for optimal rating and routing of rail and truck shipments.,Softmodal is a web-based dynamic pricing technology for optimal rating and routing of rail and truck shipments. They provide custom and out of the box software for the freight transportation industry. We believe that there is a shortage of great technology in our industry and it is our goal to supply it. By starting with the interface and working backwards through the design process we deliver fast and intuitive applications to tackle any problem.,"Logistics, Software, Supply Chain Management, Technical Support, Transportation",2010-01-01,year,"Information Technology, Other, Software, Transportation",,Private,"2,472",,,,,,,,,,,,,,,,,,,,,,Less than $1M
Truckhub,https://www.crunchbase.com/organization/truckhub,Active,"Miami, Florida, United States",1-10,Transportation Management System,"Developing a smart Transportation Management System to create a transparent and easy to use process for Dispatchers, Drivers, and Shippers. Automatic updates every step of the way eliminating  the manual emailing process with the vision of implementing a block-chain ledger for complete visibility. ","Logistics, Software",,,"Software, Transportation",,Private,"1,302",,,,,,,,,,,,,,,,,,,,,,
Reversys,https://www.crunchbase.com/organization/reversys,Active,"Lille, Nord-Pas-de-Calais, France",1-10,Reversys is a software solution provides to manage your e-commerce returns.,,"E-Commerce, Logistics, Software",2016-01-01,year,"Commerce and Shopping, Software, Transportation",,Private,670,,,,,,,,,,,,,,,,,,,,,,
Xpedium,https://www.crunchbase.com/organization/xpedium,Active,"Hauppauge, New York, United States",1-10,"Xpedium is a full-service value-added reseller that provides project management, software development, training, and support services.",,"Information Technology, Logistics, Software, Training, Transportation",1971-01-01,year,"Education, Information Technology, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,Less than $1M
Technorip Innovations Pvt Ltd,https://www.crunchbase.com/organization/technorip-innovations-pvt-ltd,Active,"Kochi, Kerala, India",1-10,Technorip offers tracking platform for logistics.,,"Information Services, Logistics, Software",2016-01-01,day,"Information Technology, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
Item Informatique,https://www.crunchbase.com/organization/item-informatique,Active,"Lingolsheim, Alsace, France",11-50,Item Informatique provides transport and logistics software.,,"Logistics, Software, Transportation",1988-02-01,day,"Software, Transportation",,Private,818,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Syntelic,https://www.crunchbase.com/organization/syntelic,Active,"Germantown, Maryland, United States",11-50,Syntelic provides software-based distribution and transportation services.,,"Logistics, Software, Technical Support",1996-01-01,year,"Information Technology, Other, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,
DLEVERED Industries,https://www.crunchbase.com/organization/dlevered-industries,Active,"Tucson, Arizona, United States",1-10,We Will Move the World,"DLEVERED Industries, LLC (‘DLVI’ or ‘DLEVERED’), recognized an incredibly fragmented market within the binational freight channels between Mexico and the US. The Company was formed as a provider of business solutions and market intelligence for the logistics and manufacturing industries.  For the last 16 months, we have taken a bifurcated approach, developing a proprietary technology platform to virtualize the supply chain, while simultaneously organically building a full-service logistics operator (DLEVERED Concepts ‘DCON’, and DLEVERED Logistics ‘DLO’ respectively).  DLVI offers the vision of one of the first fully integrated, logistics technology and service platforms.We continue to build out, proprietary geo-fencing modules alongside unique pricing tables and load matching algorithms. Shippers, warehouse owners, transporters, and freight intermediaries who are looking for a more efficient and transparent way to run their businesses can utilize our solutions for freight management.","Logistics, Software, Supply Chain Management",2016-08-01,day,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,Less than $1M
Cosmolink,https://www.crunchbase.com/organization/cosmolink,Active,"Illingen, Baden-Wurttemberg, Germany",11-50,"Cosmolink is a consultancy that offers industry and business solutions with expertise in software, publishing, logistics, & CRM services.",,"Consulting, Logistics, Software",2005-01-01,day,"Professional Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
T3EX Global Holdings,https://www.crunchbase.com/organization/t3ex-global,Active,"Quarry Bay, Hong Kong Island, Hong Kong",1001-5000,"T3EX Global Holdings provides warehouse, transportation, customer management, logistics systems.",,"Logistics, Software, Warehousing",1987-01-01,year,"Software, Transportation",,Public,,,,,,,,,,,,,,,,,,,,,,,
Omni Solutions,https://www.crunchbase.com/organization/omni-solutions,Active,"Riverton, Utah, United States",11-50,Omni Solutions offers logistics software solutions.,Omni Solutions offers eTicketing solutions that serve multiple vertical markets. They create affordable logistics software that worked under the toughest conditions.,"Enterprise Resource Planning (ERP), Logistics, Software",2012-01-01,year,"Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Prophit Systems,https://www.crunchbase.com/organization/prophit-systems,Active,"Sydney, New South Wales, Australia",11-50,Prophit Systems is the leading provider of supply chain software to the manufacturing sector.,"Prophit Systems was established in 2002 to fill a gap in the manufacturing computer software market by providing customizable supply chain software solutions & integration services. Prophit Systems consistently help businesses understand, manage, and optimize their supply chains, to increase efficiency and profitability.","Freight Service, Information Technology, Logistics, Software",2002-01-01,year,"Information Technology, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
Western Systems,https://www.crunchbase.com/organization/western-systems,Active,"Hyvinkää, Southern Finland, Finland",11-50,"Western Systems is a software development company that provides the solution in financial, wholesale, and logistics.",,"Financial Services, Logistics, Software",1981-01-01,day,"Financial Services, Software, Transportation",,Private,,,,,,,,,,,,,,,,,,,,,,,$1M to $10M
